CNN,STREET,ST_TYPE,ZIP_CODE,DISTRICT,ACCEPTED,JURISDICTI,NHOOD,LAYER,CNNTEXT,STREETNAME,STREETNA_2,ROWACTUALA,NEIGHBORHO,POINT_X,POINT_Y
11870000,SICKLES,AVE,94112,11,N,,Outer Mission,STREETS,11870000,SICKLES AVE,SICKLES AVE fr:ALEMANY BLVD to:ALEMANY BLVD,7498,Outer Mission,5996174.759,2087110.012
12914000,ALEMANY,BLVD,94112,11,N,DPW,Outer Mission,STREETS,12914000,ALEMANY BLVD,ALEMANY BLVD fr:DE WOLF ST to:SICKLES AVE,13258,Outer Mission,5996245.084,2087130.689
8183000,LAWRENCE,AVE,94112,11,N,,Outer Mission,Paper_fwys,8183000,LAWRENCE AVE,LAWRENCE AVE fr:DE WOLF ST to:END: 250-299 BLOCK,1115,Outer Mission,5996566.512,2087493.602
4542000,CRYSTAL,ST,94112,11,N,,Outer Mission,STREETS,4542000,CRYSTAL ST,CRYSTAL ST fr:DE LONG ST to:ALEMANY BLVD,12799,Outer Mission,5994551.559,2086928.884
2179101,ALEMANY,BLVD,94112,11,N,,Outer Mission,STREETS,2179101,ALEMANY BLVD,ALEMANY BLVD fr:SAN JOSE AVE to:PALMETTO AVE,1813,Outer Mission,5995086.088,2086918.946
2179201,ALEMANY,BLVD,94112,11,N,,Outer Mission,STREETS,2179201,ALEMANY BLVD,ALEMANY BLVD fr:SAN JOSE AVE to:PALMETTO AVE,33375,Outer Mission,5995086.1,2086934.946
9979000,ORIZABA,AVE,94112,11,N,,Outer Mission,Paper_fwys,9979000,ORIZABA AVE,ORIZABA AVE fr:ORIZABA AVE to:PALMETTO AVE,4569,Outer Mission,5993991.902,2087012.032
9978000,ORIZABA,AVE,94112,11,N,,Outer Mission,UPROW,9978000,ORIZABA AVE,ORIZABA AVE fr:DE LONG ST to:ORIZABA AVE,7442,Outer Mission,5993989.752,2086878.912
4651000,DE LONG,ST,94112,11,N,,Outer Mission,Paper_fwys,4651000,DE LONG ST,DE LONG ST fr:DE LONG ST to:SAN DIEGO AVE,13087,Outer Mission,5993094.05,2086822.225
6848000,HEAD,ST,94112,11,N,,Outer Mission,STREETS,6848000,HEAD ST,HEAD ST fr:DE LONG ST to:HEAD ST,4992,Outer Mission,5993469.973,2086863.891
6849000,HEAD,ST,94112,11,N,,Outer Mission,Paper_fwys,6849000,HEAD ST,HEAD ST fr:HEAD ST to:PALMETTO AVE,5524,Outer Mission,5993471.856,2087015.366
4650000,DE LONG,ST,94112,11,N,DPW,Outer Mission,STREETS,4650000,DE LONG ST,DE LONG ST fr:SHAKESPEARE ST to:DE LONG ST,6835,Outer Mission,5993324.095,2086822.702
4654000,DE LONG,ST,94112,11,N,,Outer Mission,STREETS,4654000,DE LONG ST,DE LONG ST fr:SANTA CRUZ AVE to:SAN DIEGO AVE,15564,Outer Mission,5992963.706,2086633.987
11408000,SAN DIEGO,AVE,94112,11,N,,Outer Mission,Paper_fwys,11408000,SAN DIEGO AVE,SAN DIEGO AVE fr:PANAMA ST to:SAN LUIS AVE,9501,Outer Mission,5992832.505,2086703.141
11409000,SAN DIEGO,AVE,94112,11,N,,Outer Mission,PAPER,11409000,SAN DIEGO AVE,SAN DIEGO AVE fr:SAN LUIS AVE to:DE LONG ST,5069,Outer Mission,5992817.577,2086531.597
12250000,SUMMIT,ST,94112,11,N,DPW,Oceanview,STREETS,12250000,SUMMIT ST,SUMMIT ST fr:THRIFT ST to:LAKEVIEW AVE,14702,Oceanview,5996416.303,2089755.928
5420000,FARRAGUT,AVE,94112,11,N,,Outer Mission,Paper_fwys,5420000,FARRAGUT AVE,FARRAGUT AVE fr:START: 300-399 BLOCK to:SAN JOSE AVE,2533,Outer Mission,5996716.015,2087998.676
11467101,SAN JOSE,AVE,94112,11,N,,Outer Mission,STREETS,11467101,SAN JOSE AVE,SAN JOSE AVE fr:FARRAGUT AVE to:PLYMOUTH AVE,23623,Outer Mission,5996388.977,2087616.676
9480000,NAGLEE,AVE,94112,11,N,,Outer Mission,Paper_fwys,9480000,NAGLEE AVE,NAGLEE AVE fr:START: 344-399 BLOCK to:SAN JOSE AVE,8220,Outer Mission,5997471.275,2088782.748
11425000,SAN JOSE,AVE,94112,11,N,,Ingleside,Paper_fwys,11425000,SAN JOSE AVE,SAN JOSE AVE fr:RIDGE LN to:SAN JOSE AVE,9867,Ingleside,5997943.518,2089556.147
11019000,RIDGE,LN,94112,11,N,,Ingleside,Paper_fwys,11019000,RIDGE LN,RIDGE LN fr:SAN JOSE AVE to:SAN JOSE AVE,12845,Ingleside,5998010.71,2089702.97
